Unnamed: 0,Hospital,Doctor,Specilization,Experience
,"NRI Internal Hospital, Mangalagiri, Vaddeswaram",Dr. Kalva Eswar Chand Satyendra Sai,Internal Medicine Specialist,10+ Years
,"NRI Internal Hospital, Mangalagiri, Vaddeswaram",Dr. Peram Vinay Kumar,Internal Medicine Specialist,9+ Years
,"NRI General Hospital, Mangalagiri, Vaddeswaram",Dr. Dandamudi Sai Spandana,General Surgeon,9+ Years
,"NRI General Hospital, Mangalagiri, Vaddeswaram",Dr. Mayanam Subhashini,General Surgeon,8+ Years
,"NRI General Hospital, Mangalagiri, Vaddeswaram",Dr. Thota Sahiti Prasad,General Surgeon,8+ Years
,"NRI Internal Hospital, Mangalagiri, Vaddeswaram",Dr. Duggu Aswani,Internal Medicine Specialist,8+ Years
,"NRI Internal Hospital, Mangalagiri, Vaddeswaram",Dr. Perumallapalli Abhishek,Internal Medicine Specialist,8+ Years
,"NRI General Hospital, Mangalagiri, Vaddeswaram ",Dr. Gadipudi Hamika Chowdary,General Surgeon,7+ Years
,"NRI Internal Hospital, Mangalagiri, Vaddeswaram",Dr. Madineni Deepthi,Internal Medicine Specialist,7+ Years
,"NRI General Hospital, Mangalagiri, Vaddeswaram",Dr. Ghanta Sasi Krishna,General Surgeon,6+ Years
,"NRI General Hospital, Mangalagiri, Vaddeswaram",Dr. Yarlagadda Avanija,General Surgeon,6+ Years
,"NRI Internal Hospital, Mangalagiri, Vaddeswaram",Dr. Pillutla Sai Sareen Srivastav,Internal Medicine Specialist,6+ Years
,"NRI General Hospital, Mangalagiri, Vaddeswaram",Dr. Garikapati Soma Sekhar,General Surgeon,6+ Years
,"NRI General Hospital, Mangalagiri, Vaddeswaram",Dr. Chinnapureddy Thirupathi Reddy,General Surgeon,6+ Years
,"NRI General Hospital, Mangalagiri, Vaddeswaram",Dr. Pinnamaneni Shashank,General Surgeon,6+ Years
,"NRI General Hospital, Mangalagiri, Vaddeswaram",Dr. Mylavarapu Varun Kumar,General Surgeon,6+ Years
,"NRI Internal Hospital, Mangalagiri, Vaddeswaram",Dr. Pavan Kumar Bobbadi,Internal Medicine Specialist,5+ Years
,"NRI Internal Hospital, Mangalagiri, Vaddeswaram",Dr. Chaluvadi Manasa,Internal Medicine Specialist,5+ Years
,,,,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. G Krishna Reddy,Director Oncology Services – HOD and Chief Consultant,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. V Dharmendra Kumar,HOD and Chief Consultant – Surgical Oncologist,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. Anil Kumar Karanam,Consultant - Cardiac Anesthetist,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. B K Deepak,"Consultant - Anaesthetist, Pain And Palliative Care",
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. B Uday Kiran,Associate Consultant - Pediatrics,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. B. Raj Kumar,Consultant - Radiologist,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. Balaji Vara Prasad,Consultant - Anesthesiologist,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. Bhavani M,Consultant - Hematology,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. Ch. Manoj Kumar,Senior Consultant – General Physician,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. Ch. Pooja,Consultant - Pathologist,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. Chamundeswari T,Consultant - Ophthalmology,
